72,274
82,271
94,267
117,262
142,257
160,253
171,249
179,246
184,243
187,242

114,299
142,298
174,293
214,289
246,286
268,283
278,282
283,281
283,281
283,281

113,382
136,378
174,378
235,378
304,379
349,378
373,377
385,376
389,376
389,376

180,441
200,439
245,434
306,419
361,412
400,405
421,401
426,399
426,398
426,398

102,271
114,271
150,271
227,270
290,262
338,257
362,253
372,250
374,248
376,248

198,189
260,191
321,187
372,191
404,193
414,192
415,192
415,192
415,192
415,192

38,316
70,305
140,287
226,271
296,250
331,242
355,238
364,234
366,234
366,234

162,158
182,158
212,158
269,152
323,146
352,141
367,139
374,139
373,139
373,139

93,73
121,70
166,70
217,65
281,61
358,59
414,55
436,51
446,49
446,49

106,152
121,148
140,142
165,136
188,132
214,129
242,124
280,122
331,117
376,119

158,170
183,166
223,159
279,156
336,156
378,154
401,154
410,153
410,153
410,153

139,218
155,221
182,219
225,205
292,188
341,182
370,179
382,181
382,181
382,181

186,287
222,284
286,276
344,259
406,242
450,235
462,233
461,233
454,234
454,234

193,295
218,295
269,290
334,275
387,262
426,257
444,256
450,256
446,257
446,257

156,328
179,338
210,341
254,341
298,336
327,334
344,337
352,340
350,339
350,338

125,314
130,322
145,330
168,335
226,336
296,330
359,321
402,315
422,310
430,307

122,106
145,100
172,94
198,89
213,86
219,84
222,84
232,82
251,82
269,78

84,193
102,189
134,186
185,179
238,170
289,156
341,142
377,135
401,131
415,128

154,310
165,314
189,315
219,319
269,318
313,318
357,318
382,318
398,318
404,319

130,413
154,407
202,396
255,391
312,385
366,377
395,373
417,368
432,364
440,361

182,458
205,452
222,447
238,443
252,439
263,435
278,431
298,426
318,422
338,415

195,338
210,334
234,331
270,325
314,316
358,309
386,306
402,302
408,300
410,298

176,272
194,266
218,253
254,241
301,226
340,212
363,203
378,198
383,195
384,194

230,154
252,150
281,141
312,131
339,122
362,118
377,114
383,112
384,111
384,111

256,48
266,45
278,41
297,38
324,33
350,29
374,26
389,22
400,18
407,16

182,158
211,152
248,144
292,137
334,134
365,134
382,134
387,134
387,134
387,134

298,195
321,191
337,190
346,189
347,187
350,186
356,183
365,182
370,181
375,181

81,289
109,282
163,266
220,260
282,251
329,246
350,244
366,241
378,240
385,239

135,282
160,279
194,275
254,266
308,261
361,250
394,245
410,244
417,244
419,243

189,315
214,317
241,318
275,318
322,318
353,314
379,314
393,314
396,315
387,315

126,342
165,348
225,348
280,348
318,350
347,351
378,350
388,350
390,350
390,350

131,405
160,405
211,400
262,396
318,390
365,383
390,378
407,376
414,375
410,372

215,279
245,277
282,272
309,268
335,263
360,258
378,254
386,252
